v_wind,l_tether_unstretched,l_tether,f_top,f_bot,f_mean,f_seg_1,f_seg_2,f_seg_3,f_seg_4,f_seg_5,f_seg_6
10.0,1.0,1.0101010101010102,6208.080843657205,6208.080843657205,6208.080844757539,6208.080844757505,6208.080844757709,6208.080844757402,6208.080844757402,6208.080844757709,6208.080844757505
10.0,1.0,1.0050251256281406,3088.4423548350687,3088.4423548350687,3088.442357024644,3088.44235702461,3088.4423570247122,3088.44235702461,3088.44235702461,3088.4423570247122,3088.44235702461
10.0,1.0,1.002004008016032,1231.664230760865,1231.6642307606603,1231.6642362183102,1231.664236218259,1231.664236218259,1231.6642362183613,1231.6642362183613,1231.664236218566,1231.6642362180544
10.0,1.0,1.001001001001001,615.2188388921085,615.2188388922108,615.2188497959487,615.2188497959146,615.2188497960169,615.2188497959146,615.2188497961192,615.2188497957098,615.2188497960169
10.0,1.0,1.0005002501250624,307.4682349158289,307.46823491572655,307.46825671169836,307.4682567116301,307.46825671173247,307.46825671173247,307.46825671173247,307.46825671183484,307.4682567115278
10.0,1.0,1.0002000400080016,123.03519361031914,123.03519361042149,123.03524804616062,123.03524804588767,123.03524804619472,123.03524804639943,123.03524804619472,123.03524804629707,123.03524804599002
10.0,1.0,1.0,11.109980214649251,11.109980214649251,11.110582749353725,11.110582750445474,11.110582748910202,11.110582748500796,11.110582748910202,11.110582748910202,11.110582750445474
10.0,1.0,0.9990009990009991,1.4861299163294783,1.4861299161252701,1.4906008424067194,1.4906014273794344,1.4906007264766319,1.4906003735687956,1.4906003734664441,1.4906007263742804,1.4906014271747314
10.0,1.0,0.998003992015968,1.047524409648706,1.0475244096485474,1.0538197669664464,1.0538214045898164,1.053819443433479,1.0538184529783945,1.0538184526713401,1.0538194435358306,1.0538214045898164
10.0,1.0,0.9950248756218907,0.6549381186121788,0.6549381184099218,0.6647830282121292,0.6647894012111188,0.6647817977258108,0.6647778856482822,0.6647778855459308,0.6647817981352167,0.6647894010064159
10.0,1.0,0.9900990099009901,0.45418402879381664,0.4541840285885401,0.46786207443976213,0.4678797021247738,0.46785881239636007,0.4678477087981525,0.46784770920755836,0.46785881219165715,0.4678797019200709
10.0,1.0,0.9803921568627451,0.30904665510580204,0.3090466549035303,0.3277282315035268,0.32777573163936813,0.32772016400787196,0.32768879901686754,0.3276887988121646,0.3277201641102234,0.3277757314346652
10.0,1.0,0.9523809523809523,0.17496388150197537,0.17496388353169923,0.2016798397610986,0.20184295034108013,0.20165981154198764,0.2015367573490523,0.2015367524361822,0.20165981430547708,0.20184295259281226
10.0,1.0,0.9090909090909091,0.10428595524457816,0.10428595558959616,0.13663253303639045,0.1370025556233445,0.13661741628858692,0.1362776270437127,0.13627762714606417,0.136617416083884,0.13700255603275036
20.0,1.0,1.0101010101010102,6208.081377302456,6208.081377302456,6208.081394907266,6208.08139490725,6208.081394907353,6208.08139490725,6208.0813949074545,6208.081394907045,6208.08139490725
20.0,1.0,1.0050251256281406,3088.4445115296335,3088.4445115296335,3088.4445465622825,3088.444546562265,3088.4445465621625,3088.4445465624694,3088.44454656206,3088.4445465624694,3088.444546562265
20.0,1.0,1.002004008016032,1231.6777920542165,1231.6777920545235,1231.677879371484,1231.6778793715525,1231.6778793714502,1231.6778793714502,1231.6778793714502,1231.677879371143,1231.6778793718595
20.0,1.0,1.001001001001001,615.2731837574847,615.2731837574847,615.2733582028233,615.2733582028915,615.2733582028915,615.2733582026868,615.2733582026868,615.2733582028915,615.2733582028915
20.0,1.0,1.0005002501250624,307.6855272209407,307.6855272206337,307.6858757067596,307.6858757068108,307.6858757069131,307.68587570660605,307.68587570660605,307.6858757071178,307.68587570650374
